chrom	chromStart	chromEnd	name	score	strand	length	GC
chr7	59581	89597	cp068271_59582	581	.	30016	50.34
chr7	89597	155942	cp068271_89598	414	.	66345	44.52
chr7	155942	190127	cp068271_155943	717	.	34185	55.13
chr7	190127	256794	cp068271_190128	538	.	66667	48.85
chr7	256794	367474	cp068271_256795	835	.	110680	59.24
chr7	367474	509050	cp068271_367475	683	.	141576	53.92
chr7	509050	708810	cp068271_509051	814	.	199760	58.52
chr7	708810	978554	cp068271_708811	621	.	269744	51.74
chr7	978554	1190013	cp068271_978555	849	.	211459	59.75
chr7	1190013	1337194	cp068271_1190014	661	.	147181	53.15
chr7	1337194	1413280	cp068271_1337195	841	.	76086	59.47
chr7	1413280	1539919	cp068271_1413281	729	.	126639	55.54
chr7	1539919	1612821	cp068271_1539920	961	.	72902	63.64
chr7	1612821	1642836	cp068271_1612822	726	.	30015	55.42
chr7	1642836	1683003	cp068271_1642837	911	.	40167	61.90
chr7	1683003	1877798	cp068271_1683004	710	.	194795	54.86
chr7	1877798	1915415	cp068271_1877799	396	.	37617	43.88
chr7	1915415	1951646	cp068271_1915416	636	.	36231	52.29
chr7	1951646	1988322	cp068271_1951647	912	.	36676	61.93
chr7	1988322	2393197	cp068271_1988323	723	.	404875	55.32
chr7	2393197	2581573	cp068271_2393198	585	.	188376	50.51
chr7	2581573	2657572	cp068271_2581574	882	.	75999	60.87
chr7	2657572	2715532	cp068271_2657573	607	.	57960	51.25
chr7	2715532	2840530	cp068271_2715533	790	.	124998	57.65
chr7	2840530	2976115	cp068271_2840531	453	.	135585	45.87
chr7	2976115	3019042	cp068271_2976116	638	.	42927	52.34
chr7	3019042	3053498	cp068271_3019043	723	.	34456	55.33
chr7	3053498	3100467	cp068271_3053499	506	.	46969	47.74
chr7	3100467	3416945	cp068271_3100468	461	.	316478	46.16
chr7	3416945	3680678	cp068271_3416946	234	.	263733	38.21
chr7	3680678	3902165	cp068271_3680679	291	.	221487	40.19
chr7	3902165	3993862	cp068271_3902166	330	.	91697	41.56
chr7	3993862	4050717	cp068271_3993863	416	.	56855	44.59
chr7	4050717	4141438	cp068271_4050718	528	.	90721	48.51
chr7	4141438	4182412	cp068271_4141439	347	.	40974	42.16
chr7	4182412	4212427	cp068271_4182413	497	.	30015	47.40
chr7	4212427	4402335	cp068271_4212428	617	.	189908	51.60
chr7	4402335	4716396	cp068271_4402336	404	.	314061	44.14
chr7	4716396	4784602	cp068271_4716397	514	.	68206	48.00
chr7	4784602	4898432	cp068271_4784603	617	.	113830	51.61
