chrom	chromStart	chromEnd	name	score	strand	length	GC	
chr5	129958	459684	cp068273_129959	623	.	329726	51.82	
chr5	459684	564243	cp068273_459685	866	.	104559	60.33	
chr5	564243	659987	cp068273_564244	632	.	95744	52.13	
chr5	659987	695091	cp068273_659988	927	.	35104	62.46	
chr5	695091	743253	cp068273_695092	374	.	48162	43.09	
chr5	743253	773631	cp068273_743254	848	.	30378	59.70	
chr5	773631	909228	cp068273_773632	587	.	135597	50.57	
chr5	909228	1204009	cp068273_909229	828	.	294781	59.01	
chr5	1204009	1438744	cp068273_1204010	682	.	234735	53.89	
chr5	1438744	1588601	cp068273_1438745	591	.	149857	50.71	
chr5	1588601	1637891	cp068273_1588602	400	.	49290	44.03	
chr5	1637891	1885072	cp068273_1637892	644	.	247181	52.54	
chr5	1885072	3314787	cp068273_1885073	435	.	1429715	45.24	
chr5	3314787	3508872	cp068273_3314788	341	.	194085	41.94	
chr5	3508872	3540266	cp068273_3508873	675	.	31394	53.66	
chr5	3540266	3604737	cp068273_3540267	475	.	64471	46.66	
chr5	3604737	4208399	cp068273_3604738	328	.	603662	41.51	
chr5	4208399	4603777	cp068273_4208400	268	.	395378	39.39	
chr5	4603777	4790724	cp068273_4603778	200	.	186947	37.00	
chr5	4790724	6106864	cp068273_4790725	342	.	1316140	41.98	
chr5	6106864	6845176	cp068273_6106865	437	.	738312	45.30	
chr5	6845176	7714161	cp068273_6845177	293	.	868985	40.29	
chr5	7714161	7793143	cp068273_7714162	437	.	78982	45.31	
chr5	7793143	7823288	cp068273_7793144	302	.	30145	40.60	
chr5	7823288	8938245	cp068273_7823289	244	.	1114957	38.57	
chr5	8938245	9969117	cp068273_8938246	296	.	1030872	40.37	
chr5	9969117	10206188	cp068273_9969118	373	.	237071	43.07	
chr5	10206188	10283260	cp068273_10206189	481	.	77072	46.87	
chr5	10283260	10379802	cp068273_10283261	248	.	96542	38.71	
chr5	10379802	10651925	cp068273_10379803	515	.	272123	48.03	
chr5	10651925	10733188	cp068273_10651926	420	.	81263	44.73	
chr5	10733188	11272451	cp068273_10733189	329	.	539263	41.54	
chr5	11272451	11871259	cp068273_11272452	233	.	598808	38.17	
chr5	11871259	13313006	cp068273_11871260	162	.	1441747	35.69	
chr5	13313006	13908379	cp068273_13313007	261	.	595373	39.17	
chr5	13908379	14969523	cp068273_13908380	377	.	1061144	43.23	
chr5	14969523	15408976	cp068273_14969524	243	.	439453	38.52	
chr5	15408976	16458488	cp068273_15408977	280	.	1049512	39.80	
chr5	16458488	17158776	cp068273_16458489	404	.	700288	44.14	
chr5	17158776	17457009	cp068273_17158777	318	.	298233	41.16	
chr5	17457009	17599573	cp068273_17457010	559	.	142564	49.59	
chr5	17599573	17672408	cp068273_17599574	335	.	72835	41.75	
chr5	17672408	17797618	cp068273_17672409	243	.	125210	38.54	
chr5	17797618	18757129	cp068273_17797619	175	.	959511	36.15	
chr5	18757129	21448572	cp068273_18757130	142	.	2691443	35.00	
chr5	21448572	21487203	cp068273_21448573	310	.	38631	40.87	
chr5	21487203	21610826	cp068273_21487204	541	.	123623	48.94	
chr5	21610826	23607233	cp068273_21610827	152	.	1996407	35.33	
chr5	23607233	23638013	cp068273_23607234	386	.	30780	43.52	
chr5	23638013	23710331	cp068273_23638014	61	.	72318	32.15	
chr5	23710331	30916597	cp068273_23710332	140	.	7206266	34.90	
chr5	30916597	31184949	cp068273_30916598	203	.	268352	37.12	
chr5	31184949	31454080	cp068273_31184950	241	.	269131	38.45	
chr5	31454080	31512936	cp068273_31454081	371	.	58856	43.00	
chr5	31512936	31607405	cp068273_31512937	243	.	94469	38.51	
chr5	31607405	31731191	cp068273_31607406	335	.	123786	41.75	
chr5	31731191	32444532	cp068273_31731192	428	.	713341	45.01	
chr5	32444532	32556593	cp068273_32444533	240	.	112061	38.42	
chr5	32556593	32828882	cp068273_32556594	397	.	272289	43.91	
chr5	32828882	32875528	cp068273_32828883	255	.	46646	38.96	
chr5	32875528	32966825	cp068273_32875529	334	.	91297	41.71	
chr5	32966825	33466505	cp068273_32966826	220	.	499680	37.72	
chr5	33466505	33583215	cp068273_33466506	271	.	116710	39.52	
chr5	33583215	35518006	cp068273_33583216	310	.	1934791	40.87	
chr5	35518006	36041574	cp068273_35518007	222	.	523568	37.80	
chr5	36041574	36322515	cp068273_36041575	310	.	280941	40.87	
chr5	36322515	36611491	cp068273_36322516	210	.	288976	37.37	
chr5	36611491	36933239	cp068273_36611492	297	.	321748	40.41	
chr5	36933239	36995901	cp068273_36933240	396	.	62662	43.87	
chr5	36995901	37052146	cp068273_36995902	304	.	56245	40.66	
chr5	37052146	37318744	cp068273_37052147	154	.	266598	35.42	
chr5	37318744	37497632	cp068273_37318745	259	.	178888	39.07	
chr5	37497632	37677602	cp068273_37497633	358	.	179970	42.55	
chr5	37677602	37749477	cp068273_37677603	271	.	71875	39.52	
chr5	37749477	38014694	cp068273_37749478	231	.	265217	38.09	
chr5	38014694	38093405	cp068273_38014695	428	.	78711	45.00	
chr5	38093405	39184855	cp068273_38093406	322	.	1091450	41.28	
chr5	39184855	39259500	cp068273_39184856	107	.	74645	33.75	
chr5	39259500	39958281	cp068273_39259501	230	.	698781	38.07	
chr5	39958281	40604092	cp068273_39958282	186	.	645811	36.52	
chr5	40604092	41041777	cp068273_40604093	238	.	437685	38.36	
chr5	41041777	41147644	cp068273_41041778	369	.	105867	42.93	
chr5	41147644	41335888	cp068273_41147645	260	.	188244	39.11	
chr5	41335888	43066202	cp068273_41335889	213	.	1730314	37.48	
chr5	43066202	43146574	cp068273_43066203	275	.	80372	39.63	
chr5	43146574	43468593	cp068273_43146575	391	.	322019	43.70	
chr5	43468593	43691594	cp068273_43468594	330	.	223001	41.58	
chr5	43691594	43762576	cp068273_43691595	222	.	70982	37.78	
chr5	43762576	43862313	cp068273_43762577	326	.	99737	41.44	
chr5	43862313	44375301	cp068273_43862314	221	.	512988	37.75	
chr5	44375301	45606639	cp068273_44375302	176	.	1231338	36.19	
chr5	45606639	45639523	cp068273_45606640	22	.	32884	30.78	
chr5	45639523	45947498	cp068273_45639524	133	.	307975	34.66	
chr5	45947498	46622340	cp068273_45947499	188	.	674842	36.61	
chr5	46622340	46685424	cp068273_46622341	222	.	63084	37.77	
chr5	46685424	46751829	cp068273_46685425	263	.	66405	39.22	
chr5	46751829	46786045	cp068273_46751830	168	.	34216	35.90	
chr5	46786045	46831212	cp068273_46786046	207	.	45167	37.26	
chr5	46831212	47038255	cp068273_46831213	244	.	207043	38.55	
chr5	47038255	47076323	cp068273_47038256	249	.	38068	38.72	
chr5	47076323	47534056	cp068273_47076324	257	.	457733	39.02	
chr5	47534056	49246217	cp068273_47534057	260	.	1712161	39.13	
chr5	49246217	49407612	cp068273_49246218	258	.	161395	39.05	
chr5	49407612	49596665	cp068273_49407613	263	.	189053	39.22	
chr5	49596665	49628578	cp068273_49596666	327	.	31913	41.48	
chr5	49628578	49996845	cp068273_49628579	315	.	368267	41.03	
chr5	49996845	50026859	cp068273_49996846	514	.	30014	48.01	
chr5	50026859	50120334	cp068273_50026860	188	.	93475	36.59	
chr5	50120334	50455915	cp068273_50120335	235	.	335581	38.23	
chr5	50455915	50533782	cp068273_50455916	208	.	77867	37.31	
chr5	50533782	50597362	cp068273_50533783	253	.	63580	38.87	
chr5	50597362	50647292	cp068273_50597363	196	.	49930	36.87	
chr5	50647292	50925858	cp068273_50647293	273	.	278566	39.58	
chr5	50925858	50991365	cp068273_50925859	252	.	65507	38.83	
chr5	50991365	51255568	cp068273_50991366	199	.	264203	36.97	
chr5	51255568	51319848	cp068273_51255569	290	.	64280	40.18	
chr5	51319848	52167577	cp068273_51319849	186	.	847729	36.52	
chr5	52167577	52235370	cp068273_52167578	292	.	67793	40.25	
chr5	52235370	53101531	cp068273_52235371	129	.	866161	34.52	
chr5	53101531	53446459	cp068273_53101532	165	.	344928	35.80	
chr5	53446459	53788766	cp068273_53446460	205	.	342307	37.21	
chr5	53788766	54417913	cp068273_53788767	249	.	629147	38.75	
chr5	54417913	54578303	cp068273_54417914	185	.	160390	36.49	
chr5	54578303	54704212	cp068273_54578304	318	.	125909	41.15	
chr5	54704212	54900015	cp068273_54704213	255	.	195803	38.96	
chr5	54900015	54993423	cp068273_54900016	170	.	93408	35.97	
chr5	54993423	55050012	cp068273_54993424	242	.	56589	38.50	
chr5	55050012	55123278	cp068273_55050013	271	.	73266	39.50	
chr5	55123278	55162387	cp068273_55123279	354	.	39109	42.41	
chr5	55162387	55205711	cp068273_55162388	213	.	43324	37.47	
chr5	55205711	55741078	cp068273_55205712	333	.	535367	41.67	
chr5	55741078	56043197	cp068273_55741079	280	.	302119	39.81	
chr5	56043197	56074132	cp068273_56043198	516	.	30935	48.06	
chr5	56074132	56249701	cp068273_56074133	199	.	175569	36.98	
chr5	56249701	56280124	cp068273_56249702	321	.	30423	41.24	
chr5	56280124	56360258	cp068273_56280125	248	.	80134	38.69	
chr5	56360258	56449095	cp068273_56360259	372	.	88837	43.05	
chr5	56449095	56713491	cp068273_56449096	253	.	264396	38.89	
chr5	56713491	56762958	cp068273_56713492	448	.	49467	45.69	
chr5	56762958	56822798	cp068273_56762959	205	.	59840	37.19	
