chrom	chromStart	chromEnd	name	score	strand	length	GC
chr1	50151	146116	cp068277_50152	266	.	95965	39.32
chr1	146116	328708	cp068277_146117	429	.	182592	45.04
chr1	328708	712899	cp068277_328709	895	.	384191	61.33
chr1	712899	791274	cp068277_712900	1000	.	78375	65.82
chr1	791274	850817	cp068277_791275	646	.	59543	52.64
chr1	850817	880821	cp068277_850818	964	.	30004	63.76
chr1	880821	990147	cp068277_880822	800	.	109326	58.03
chr1	990147	1047609	cp068277_990148	677	.	57462	53.72
chr1	1047609	1077649	cp068277_1047610	989	.	30040	64.62
chr1	1077649	1233610	cp068277_1077650	659	.	155961	53.07
chr1	1233610	1324254	cp068277_1233611	451	.	90644	45.79
chr1	1324254	1423995	cp068277_1324255	811	.	99741	58.42
chr1	1423995	1453999	cp068277_1423996	547	.	30004	49.16
chr1	1453999	1865994	cp068277_1454000	796	.	411995	57.87
chr1	1865994	2005333	cp068277_1865995	967	.	139339	63.88
chr1	2005333	2069431	cp068277_2005334	713	.	64098	54.96
chr1	2069431	2278445	cp068277_2069432	900	.	209014	61.51
chr1	2278445	2956809	cp068277_2278446	763	.	678364	56.71
chr1	2956809	3122393	cp068277_2956810	927	.	165584	62.45
chr1	3122393	3178645	cp068277_3122394	669	.	56252	53.43
chr1	3178645	3247126	cp068277_3178646	912	.	68481	61.93
chr1	3247126	3308287	cp068277_3247127	718	.	61161	55.14
chr1	3308287	3693541	cp068277_3308288	581	.	385254	50.35
chr1	3693541	3806249	cp068277_3693542	378	.	112708	43.25
chr1	3806249	3881360	cp068277_3806250	598	.	75111	50.96
chr1	3881360	3993246	cp068277_3881361	472	.	111886	46.54
chr1	3993246	4034749	cp068277_3993247	599	.	41503	50.99
chr1	4034749	4105606	cp068277_4034750	394	.	70857	43.82
chr1	4105606	4316445	cp068277_4105607	627	.	210839	51.95
chr1	4316445	4380212	cp068277_4316446	342	.	63767	42.00
chr1	4380212	4506274	cp068277_4380213	467	.	126062	46.37
chr1	4506274	4568862	cp068277_4506275	361	.	62588	42.66
chr1	4568862	4626216	cp068277_4568863	229	.	57354	38.02
chr1	4626216	4690674	cp068277_4626217	448	.	64458	45.71
chr1	4690674	4755454	cp068277_4690675	322	.	64780	41.28
chr1	4755454	4893684	cp068277_4755455	481	.	138230	46.84
chr1	4893684	5051513	cp068277_4893685	555	.	157829	49.43
chr1	5051513	5166002	cp068277_5051514	394	.	114489	43.82
chr1	5166002	5350550	cp068277_5166003	577	.	184548	50.20
chr1	5350550	5418370	cp068277_5350551	743	.	67820	56.02
chr1	5418370	5514507	cp068277_5418371	519	.	96137	48.18
chr1	5514507	5886547	cp068277_5514508	732	.	372040	55.65
chr1	5886547	5943977	cp068277_5886548	577	.	57430	50.20
chr1	5943977	6039651	cp068277_5943978	863	.	95674	60.21
chr1	6039651	6079357	cp068277_6039652	503	.	39706	47.64
chr1	6079357	6177795	cp068277_6079358	682	.	98438	53.90
chr1	6177795	6317984	cp068277_6177796	447	.	140189	45.68
chr1	6317984	6432489	cp068277_6317985	311	.	114505	40.90
chr1	6432489	6658848	cp068277_6432490	539	.	226359	48.87
chr1	6658848	6859311	cp068277_6658849	405	.	200463	44.18
chr1	6859311	6946384	cp068277_6859312	527	.	87073	48.45
chr1	6946384	7237056	cp068277_6946385	685	.	290672	53.98
chr1	7237056	7384723	cp068277_7237057	339	.	147667	41.88
chr1	7384723	7726290	cp068277_7384724	423	.	341567	44.83
chr1	7726290	7774260	cp068277_7726291	567	.	47970	49.88
chr1	7774260	7814521	cp068277_7774261	486	.	40261	47.01
chr1	7814521	7845229	cp068277_7814522	406	.	30708	44.22
